iter	Passed	Remaining
0	50	49989
1	51	25538
2	52	17364
3	53	13280
4	54	10818
5	55	9131
6	55	7913
7	56	6997
8	57	6288
9	57	5716
10	58	5251
11	59	4861
12	59	4531
13	60	4246
14	60	4003
15	61	3788
16	62	3599
17	62	3431
18	63	3280
19	64	3145
20	64	3023
21	65	2911
22	66	2809
23	66	2715
24	67	2629
25	68	2552
26	68	2478
27	69	2409
28	70	2345
29	70	2285
30	71	2229
31	71	2177
32	72	2128
33	73	2081
34	73	2037
35	74	1996
36	75	1958
37	75	1920
38	76	1885
39	77	1851
40	77	1819
41	78	1789
42	79	1760
43	79	1732
44	80	1705
45	81	1680
46	81	1655
47	82	1631
48	82	1609
49	83	1588
50	84	1567
51	84	1546
52	85	1527
53	86	1509
54	86	1492
55	87	1474
56	88	1458
57	88	1441
58	89	1425
59	90	1410
60	90	1395
61	91	1381
62	91	1367
63	92	1353
64	93	1340
65	93	1328
66	94	1315
67	94	1299
68	95	1287
69	96	1276
70	96	1265
71	97	1254
72	97	1244
73	98	1233
74	99	1224
75	99	1214
76	100	1204
77	101	1195
78	101	1186
79	102	1177
80	103	1168
81	103	1160
82	104	1151
83	104	1143
84	105	1133
85	105	1125
86	106	1115
87	106	1108
88	107	1101
89	108	1094
90	108	1087
91	109	1080
92	110	1074
93	110	1067
94	111	1061
95	112	1055
96	112	1048
97	113	1042
98	113	1036
99	114	1030
100	115	1025
101	115	1016
102	116	1011
103	116	1005
104	117	1000
105	118	995
106	118	990
107	120	995
108	121	991
109	122	989
110	123	985
111	123	980
112	124	976
113	125	971
114	125	967
115	126	961
116	126	957
117	127	953
118	128	947
119	128	943
120	129	939
121	130	935
122	130	929
123	130	925
124	131	921
125	132	917
126	132	914
127	133	908
128	134	905
129	134	902
130	135	898
131	136	895
132	136	891
133	137	887
134	138	884
135	138	880
136	139	877
137	139	873
138	140	869
139	141	866
140	141	863
141	142	860
142	143	857
143	143	853
144	144	851
145	144	847
146	145	844
147	146	841
148	146	838
149	147	835
150	148	832
151	148	829
152	149	826
153	150	824
154	150	821
155	151	818
156	151	815
157	152	812
158	153	810
159	153	807
160	154	804
161	155	802
162	155	800
163	156	797
164	157	795
165	157	792
166	158	790
167	159	787
168	159	785
169	160	782
170	160	780
171	161	778
172	162	775
173	162	773
174	163	771
175	164	768
176	164	766
177	165	764
178	166	761
179	166	759
180	167	755
181	167	753
182	168	751
183	168	749
184	169	747
185	170	744
